book_folder,id,display_label,title,arabic_title,preface,range,order
bukhari_bn,51,৫১,হিবা ও তার ফজিলত এবং এর প্রতি উৎসাহ প্রদান,كتاب الهبة وفضلها والتحريض عليها,,২৫৬৬ - ২৬৩৬,51
bukhari_bn,52,৫২,সাক্ষ্যদান,كتاب الشهادات,,২৬৩৭ - ২৬৮৯,52
bukhari_bn,53,৫৩,বিবাদ মীমাংসা,كتاب الصلح,,২৬৯০ - ২৭১০,53
bukhari_bn,54,৫৪,শর্তাবলী,كتاب الشروط,,২৭১১ - ২৭৩৭,54
bukhari_bn,55,৫৫,ওসিয়াত,كتاب الوصايا,,২৭৩৮ - ২৭৮১,55
bukhari_bn,56,৫৬,জিহাদ,كتاب الجهاد والسير,,২৭৮২ - ৩০৯০,56
bukhari_bn,57,৫৭,খুমুস (এক পঞ্চমাংশ),كتاب فرض الخمس,,৩০৯১ - ৩১৫৫,57
bukhari_bn,58,৫৮,জিযিয়া কর ও সন্ধি স্থাপন,كتاب الجزية والموادعة,,৩১৫৬ - ৩১৮৯,58
bukhari_bn,59,৫৯,সৃষ্টির সূচনা,كتاب بدء الخلق,,৩১৯০ - ৩৩২৫,59
bukhari_bn,60,৬০,আম্বিয়া কিরাম (আঃ),كتاب أحاديث الأنبياء,,৩৩২৬ - ৩৪৮৮,60
bukhari_bn,61,৬১,মর্যাদা ও বৈশিষ্ট্য,كتاب المناقب,,৩৪৮৯ - ৩৬৪৮,61
bukhari_bn,62,৬২,সাহাবীগণের মর্যাদা,كتاب فضائل أصحاب النبى ﷺ,,৩৬৪৯ - ৩৭৭৫,62
bukhari_bn,63,৬৩,আনসারগণের মর্যাদা,كتاب مناقب الأنصار,,৩৭৭৬ - ৩৯৪৮,63
bukhari_bn,64,৬৪,মাগাজি,كتاب المغازى,,৩৯৪৯ - ৪৪৭৩,64
bukhari_bn,65,৬৫,তাফসীর,كتاب التفسير,,৪৪৭৪ - ৪৯৭৭,65
bukhari_bn,66,৬৬,ফজায়িলুল কুরআন,كتاب فضائل القرآن,,৪৯৭৮ - ৫০৬২,66
bukhari_bn,67,৬৭,বিয়ে-শাদি,كتاب النكاح,,৫০৬৩ - ৫২৫০,67
bukhari_bn,68,৬৮,তালাক,كتاب الطلاق,,৫২৫১ - ৫৩৫০,68
bukhari_bn,69,৬৯,ভরণ-পোষণ,كتاب النفقات,,৫৩৫১ - ৫৩৭২,69
bukhari_bn,70,৭০,আহার সংক্রান্ত,كتاب الأطعمة,,৫৩৭৩ - ৫৪৬৬,70
bukhari_bn,71,৭১,আকীকা,كتاب العقيقة,,৫৪৬৭ - ৫৪৭৪,71
bukhari_bn,72,৭২,যবেহ ও শিকার করা,كتاب الذبائح والصيد,,৫৪৭৫ - ৫৫৪৪,72
bukhari_bn,73,৭৩,কুরবানী,كتاب الأضاحي,,৫৫৪৫ - ৫৫৭৪,73
bukhari_bn,74,৭৪,পানীয় দ্রব্যসমূহ,كتاب الأشربة,,৫৫৭৫ - ৫৬৩৯,74
